Rank,Name,Birth Name,Age,Date of Birth,Country of Origin,Residing in,Height,Other Info,Added,TV Shows,Movies
1,candice swanepoel,Candice Susan Swanepoel,31,20 October 1988,South Africa,United States,"5' 9""","Single, 5584 Views, 13 votes, 6 comments","9 years ago, ","Entertainment Tonight, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, The Victoria's Secret Fashion Show, View all Candice Swanepoel TV, ","Victoria's Secret Fashion Show (2013), Are All Men Pedophiles?,  Victoria's Secret Fashion Show (2015)The Victoria's Secret Fashion Show (2018), Taylor Swift: The 1989 World Tour Live                                  (2015), View all Candice Swanepoel movies, "
2,nina agdal,Nina Agdal,28,26 March 1992,Denmark,United States,"5' 9""","In a relationship, Partner: Jack Brinkley-Cook, 729 Views, 3 votes","6 years ago, ","Entertainment Tonight, Late Show with David Letterman, Jimmy Kimmel Live!, The Insider, Sports Illustrated: The Making of Swimsuit 2013, View all Nina Agdal TV, ","Don Jon, Entourage, Sports Illustrated Swimsuit: 50 Years of Beautiful, "
3,johanna lundback,Johanna Romsdal Lundbäck,28,7 December 1991,Sweden,,"5' 9""","Married, Partner: Jared Jerebko, 635 Views, 2 votes","5 years ago, ", ,"Frostbiten, "
4,kate upton,Katherine Elizabeth Upton,27,10 June 1992,United States,,"5' 10""","Married, Partner: Justin Verlander, 0 Views","7 months ago, ","Saturday Night LiveRobot Chicken, Project Runway, Entertainment Tonight, Late Show with David Letterman, View all Kate Upton TV, ","Tower Heist, The Other Woman (2014), The Three Stooges, The Layover, Mademoiselle C                                  (2013), View all Kate Upton movies, "
5,esti ginzburg,Esther Daphna Ginzburg,30,6 March 1990,Israel,,"5' 8""","Married, Partner: Adi Keizman, 989 Views, 1 votes","10 years ago, ","Sports Illustrated: Swimsuit 2009, Mo'adon Layla, ","Movie 43, Twelve, Exposure: Sports Illustrated Swimsuit 2011, "
6,emily didonato,Emily DiDonato,29,24 February 1991,United States,,"5' 10""","Married, Partner: Kyle Peterson, 715 Views, 4 votes","7 years ago, ","Late Show with David Letterman, Sports Illustrated: The Making of Swimsuit 2013, Love Advent, Sports Illustrated: The Making of SI's Swimsuit 2014: From Sand to Space                           View all Emily Didonato TV, ", 
7,barbara palvin,Barbara Palvin,26,8 October 1993,Hungary,United States,"5' 8""","In a relationship, Partner: Dylan Sprouse, 1743 Views, 4 votes","8 years ago, ","The Victoria's Secret Fashion Show (2012), Love Advent, ","Hercules, The Victoria's Secret Fashion Show (2018), ASMR: Autonomous Sensory Model Reading, Giorgio Armani: Light di Gioia, Men Expert L'Oreal, View all Barbara Palvin movies, "
8,genevieve morton,Genevieve Morton,33,9 July 1986,South Africa,United States,"5' 9""","Single, 926 Views, 3 votes","8 years ago, ","Late Show with David Letterman, Sharknado 3: Oh Hell No!, Sports Illustrated: The Making of Swimsuit 2013, Big Morning Buzz Live                                  (2011- ), Sports Illustrated: The Making of Swimsuit 2012, View all Genevieve Morton TV, ","Exposure: Sports Illustrated Swimsuit 2011, VHYes, "
9,bar refaeli,Bar Refaeli  בר רפאלי,34,4 June 1985,Israel,,"5' 9""","Married, Partner: Adi Ezra, 4803 Views, 9 votes","11 years ago, ","Entertainment Tonight, Late Show with David Letterman, Late Night with Jimmy Fallon, Chelsea Lately, Sports Illustrated: Swimsuit 2009, View all Bar Refaeli TV, ","Session, The Eurovision Song Contest, Kidon, Sports Illustrated Swimsuit: 50 Years of Beautiful, View all Bar Refaeli movies, "
10,sara sampaio,Sara Pinto Sampaio,28,21 July 1991,Portugal,United States,"5' 7""","In a relationship, Partner: Oliver Ripley, 2005 Views, 3 votes","8 years ago, ","Billions, Victoria's Secret Fashion Show                                  (2014), Victoria's Secret Fashion Show                                  (2016), The Victoria's Secret Swim Special                                  (2016), Love Advent, View all Sara Sampaio TV, ","Victoria's Secret Fashion Show (2013),  Victoria's Secret Fashion Show (2015)The Clapper                                  (2017), The Victoria's Secret Fashion Show (2018), The Victoria's Secret Fashion Show (2017), View all Sara Sampaio movies, "
