rank,grade,name,posts/media,followers,following
1,A++ ,Instagram,6335,347251119,79
2,A++ ,Cristiano Ronaldo,2802,216859899,447
3,A++ ,Ariana Grande,4565,183870587,888
4,A++ ,therock,4905,182316625,368
5,A++ ,Selena Gomez,1607,175775080,117
6,A++ ,Kylie ?,6378,173672518,139
7,A++ ,Kim Kardashian West,5146,168713007,44
8,A++ ,Leo Messi,582,149803561,229
9,A++ ,Beyoncé,1874,145749792,-- 
10,A++ ,ene10ta Érre ?? ? neymarjr,4716,138655314,1236
11,A++ ,National Geographic,22621,135746845,133
12,A++ ,Justin Bieber,5427,134468535,393
13,A++ ,Taylor Swift,437,131863193,-- 
14,A++ ,Kendall,3095,128332700,210
15,A++ ,Jennifer Lopez,2836,120035931,1158
16,A++ ,Nike,769,110276059,54
17,A++ ,Khloé,3756,109766895,129
18,A++ ,Miley Cyrus,624,107822503,991
19,A++ ,KATY PERRY,1499,95145171,556
20,A++ ,Kourtney Kardashian,3847,91183522,114
21,A++ ,Kevin Hart,6739,90013863,669
22,A++ ,Ellen DeGeneres,8823,88122520,399
23,A++ ,Real Madrid C.F.,3289,87192055,40
24,A++ ,FC Barcelona (from ?),12871,85822878,60
25,A++ ,Demi Lovato,121,81268351,521
26,A++ ,badgalriri,4635,78540757,1419
27,A++ ,Victoria's Secret,775,69023902,479
28,A++ ,CHRIS BROWN,7087,64769460,3
29,A++ ,Cardi B,1065,63916229,3252
30,A++ ,BILLIE EILISH,435,62316635,653
31,A++ ,Justin Timberlake,720,58732496,788
32,A++ ,UEFA Champions League,11109,58566399,500
33,A++ ,NASA,2895,57456941,87
34,A++ ,Emma Charlotte Duerre Watson,202,56801574,32
35,A++ ,Virat Kohli,958,56686644,155
36,A++ ,Priyanka Chopra Jonas,3107,52684355,511
37,A++ ,9GAG: Go Fun The World,23324,52462694,31
38,A++ ,Ronaldo de Assis Moreira,2424,51840568,350
39,A++ ,MALUMA,7540,50785874,228
40,A++ ,camila,2376,49370407,534
41,A++ ,#NBATogether,34726,48023215,940
42,A++ ,Alia Bhatt ☀️,1588,47089245,548
43,A++ ,Anitta ?,4199,46669954,2187
44,A++ ,Marvel Entertainment,4185,46526963,163
45,A++ ,James Rodríguez,898,45452944,604
46,A++ ,Will Smith,953,44834477,175
47,A++ ,DUA LIPA,338,44818771,857
48,A++ ,Shraddha,1627,44778369,482
49,A++ ,Cara Delevingne,4135,44458961,1911
50,A++ ,Marcelo Vieira Jr.,2227,44400256,1118
51,A+ ,Nike Football (Soccer),1724,44309825,338
52,A+ ,snoopdogg,44759,43647385,3588
53,A+ ,HUDA KATTAN,494,43314096,788
54,A+ ,Gareth Bale,879,43141642,82
