rank,grade,usernme,uploads,subscribers,top_views
1,A++ ,T-Series,14262,138M,107342170904
2, ,Music,--,110M,-- 
3, ,YouTube Movies,--,110M,-- 
4,A ,PewDiePie,4134,104M,25408330331
5, ,Gaming,--,84.6M,-- 
6,A++ ,Cocomelon - Nursery Rhymes,525,80.7M,60349291718
7, ,Sports,--,75.2M,-- 
8,A++ ,SET India,37134,71.5M,54269922008
9,A ,5-Minute Crafts,4115,66.4M,17669228868
10,A++ ,WWE,47454,59.3M,42521748392
11,A ,Canal KondZilla,1410,57.4M,29822673288
12,A+ ,Zee Music Company,4724,54.3M,25710004308
13,A++ ,Like Nastya,413,53.9M,32816406422
14,B+ ,Justin Bieber,171,53.8M,987954671
15,A++ ,✿ Kids Diana Show,702,52.5M,26240828166
16,A ,Dude Perfect,232,50.8M,10522858129
17,A ,Marshmello,436,44.9M,8753290890
18,A ,Ed Sheeran,161,44.3M,19884569164
19,A++ ,Zee TV,98360,44.2M,43258964238
20,A ,Badabun,5668,43M,16057616555
21,A- ,EminemMusic,134,42.5M,923292882
22,B+ ,HolaSoyGerman.,136,40.7M,4226068301
23,B+ ,Ariana Grande,171,40.7M,1010247405
24,A+ ,Vlad and Niki,232,39.4M,19342154557
25,A ,JuegaGerman,1704,39.3M,10985747497
26,B+ ,whinderssonnunes,378,39.3M,3368740529
27,B ,Taylor Swift,179,37.8M,330443740
28,A+ ,Movieclips,35399,37.7M,36237699240
29,A- ,elrubiusOMG,826,37.6M,8579055817
30,A ,Felipe Neto,2242,37.6M,9691995477
31,A ,TheEllenShow,11785,37.3M,19655718041
32,B- ,Katy Perry,103,36.9M,366677957
33,A ,Aaj Tak,103438,36.3M,10770103786
34,A- ,Fernanfloo,536,36M,8025799216
35,A ,Goldmines Telefilms,810,35.7M,7439573876
36,A ,Big Hit Labels,365,35.3M,9052736378
37,A+ ,Shemaroo Filmi Gaane,6827,35.3M,17126980448
38,A ,BLACKPINK,261,35M,8946436885
39,A ,BRIGHT SIDE,3325,34.7M,6718807424
40,A ,MrBeast,700,34.7M,5353597058
41,A+ ,ChuChu TV Nursery Rhymes & Kids So…,354,34.6M,22220911163
42, ,News,--,34.5M,-- 
43,B- ,Rihanna,79,34.2M,65508596
44,A ,Alan Walker,222,34M,8036954896
45,A ,Você Sabia?,1065,33.9M,4755000290
46,A ,Wave Music,17881,33.8M,22932711128
47,A ,Sony Music India,2607,33.5M,13604382626
48,A+ ,El Reino Infantil,860,33M,29958912367
49,A ,JustinBieberVEVO,149,32.8M,20214292117
50,A+ ,Pinkfong! Kids' Songs & Stories,1554,32.8M,13995249496
51,A ,Luisito Comunica,808,31.2M,4642732151
52,B ,One Direction,157,31.1M,371880009
53,A ,Get Movies,3091,31M,23118624192
54,B ,Maroon 5,158,30.4M,325816083
55,A+ ,SAB TV,23834,30.4M,26978107701
56,A ,YRF,3730,30.3M,16356261942
57,A ,LUCCAS NETO - LUCCAS TOON,967,30.2M,10860451680
58,A- ,YouTube,313,30.1M,2165211605
59,A ,Speed Records,8143,29.8M,15384750213
60,A ,VEGETTA777,5901,29.7M,12289353664
61, ,Popular on YouTube,--,29.6M,-- 
62,B+ ,Billie Eilish,28,29.5M,653065230
63,A ,Daddy Yankee,352,29.3M,10662045281
64,A ,SonyMusicIndiaVEVO,3080,29.3M,14012843868
65,A ,Маша и Медведь,746,29.2M,23789742234
66,A ,BANGTANTV,1190,29M,3979447212
67,A ,GR6 EXPLODE,3128,28.9M,14680114340
68,A+ ,WorkpointOfficial,43917,28.9M,25035599366
69,B+ ,Shakira,245,28.8M,259895658
70,A ,T-Series Bhakti Sagar,20645,28.8M,11949042087
71,A+ ,Little Baby Bum - Nursery Rhymes &…,1186,28.6M,25182679984
72,A ,Trap Nation,1928,28.6M,10712044623
73,A ,Like Nastya Show,307,28.5M,10625534662
74,A+ ,LooLoo Kids - Nursery Rhymes and C…,457,28.3M,12395693018
75,A ,Ozuna,88,27.9M,13598843249
76,A ,Tips Official,2785,27.7M,12401411052
77,B ,Luis Fonsi,76,27.2M,20936433
78,A ,Bruno Mars,67,27.1M,11844409685
79,A ,Spinnin' Records,9522,27M,16347560113
80,A ,rezendeevil,8931,26.9M,10197717215
81,A+ ,ABS-CBN Entertainment,139457,26.8M,35635143629
82,A ,TaylorSwiftVEVO,118,26.8M,18629466750
83,A ,NoCopyrightSounds,756,25.8M,7738871095
84,A ,RihannaVEVO,106,25.8M,15143564587
85,A ,EminemVEVO,86,25.7M,14682414350
86,A ,KatyPerryVEVO,140,25.6M,19109845233
87,A ,Markiplier,4669,25.6M,13025803422
88,B+ ,J Balvin,69,25.4M,146633254
89,B ,Selena Gomez,175,25.4M,504997604
90,B ,Shawn Mendes,89,25.4M,305213599
91,B+ ,ToyPudding TV,2756,25.4M,14845911805
92,A- ,BST Kids - Nursery Rhymes & Songs,226,25.3M,6993407239
93,A ,XXXTENTACION,104,25.1M,4923129421
94,A- ,Smosh,1120,25.1M,9454327344
95,A ,VanossGaming,1166,25M,12472326489
96,A+ ,Ryan's World,1709,24.9M,38576050548
97,A ,The Tonight Show Starring Jimmy Fa…,5976,24.9M,13724499984
98,A+ ,Colors TV,38463,24.7M,18446467280
99,A ,Bad Bunny,60,24.7M,7845590336
100,A ,Boram Tube Vlog [보람튜브 브�…,223,24.6M,9749534135
101,A ,TEDx Talks,154079,24.5M,4459044614
102,B+ ,Yuya,638,24.3M,2489226059
103,A ,GENIAL,3081,24M,3813850601
104,A ,jacksepticeye,4560,23.8M,12646914311
105,A ,The Late Late Show with James Cord…,4053,23.7M,7640310605
106,A ,CVS 3D Rhymes & Kids Songs,338,23.6M,14148553737
107,A- ,Ninja,1094,23.3M,2183165570
108,B+ ,Maluma,9,23.3M,355408792
109,A- ,shane,1684,23.3M,5584055860
110,A ,WORLDSTARHIPHOP,4910,23.3M,15559082520
111,A ,ABP NEWS,144646,23.2M,5805322319
112,A ,Eros Now,10111,23M,13479289892
113,A+ ,one31,88425,23M,18121583149
114,A- ,enchufetv,1348,22.9M,8498886366
115,A ,DanTDM,3355,22.8M,16527976278
116,A+ ,Ch3Thailand,71101,22.8M,17633650521
117,A ,Shemaroo,7303,22.7M,12197285325
118,A ,Ultra Music,4010,22.7M,12627190124
119,A- ,Kimberly Loaiza,117,22.6M,1647818047
120,A ,Atta Halilintar,814,22.6M,2319850217
121,A ,LosPolinesios,537,22.6M,5040523903
122,A- ,OneDirectionVEVO,171,22.6M,9345895963
123,A ,AuronPlay,409,22.5M,2942580946
124,A ,Infobells - Hindi,333,22.5M,11119566507
125,A ,WatchMojo.com,18066,22.4M,13437186232
126,A+ ,""">Super Simple Songs - Kids Songs",501,22.3M,20010642813
127,A ,T-Series Apna Punjab,4751,22.3M,11472699439
128,A ,Ultra Bollywood,10400,22.3M,12026686725
129,A ,SMTOWN,3532,22.2M,16316756674
130,B- ,ImagineDragons,51,21.9M,20745163
131,A ,Galinha Pintadinha,51,21.8M,15100947333
132,A ,Venus,4226,21.8M,8045704218
133,A ,David Guetta,532,21.5M,12518490238
134,A+ ,TC,417,21.5M,15376676191
135,A ,Gaane Sune Ansune,2515,21.5M,9843820857
136,A ,Logan Paul,704,21.4M,5253332288
